retained_paths,running_potential_mean
1,0.5389047348
2,0.5600122497
3,0.5248986439
4,0.5074229691
5,0.4963277434
6,0.5301910226
7,0.5415840907
8,0.5796408329
9,0.5739917268
10,0.5696829553
11,0.5759453320
12,0.6055318729
13,0.6509899450
14,0.6760025313
15,0.6969597651
16,0.6841394056
17,0.6871509642
18,0.7039187041
19,0.7011598352
20,0.6993355924
21,0.7126913759
23,0.7024999125
24,0.6981299494
26,0.6634290367
28,0.6415027180
30,0.6377016186
32,0.6341655718
34,0.6248149522
36,0.6095014566
38,0.6074872698
41,0.6293510668
44,0.6839178518
46,0.6974638229
49,0.7399908927
53,0.8050344373
56,0.8457675346
60,0.8359883616
64,0.8172940566
68,0.7978760985
72,0.7953848092
77,0.8101072541
82,0.8041736888
88,0.8285005375
93,0.8607845529
99,0.8631778728
106,0.8516646432
113,0.8533120175
120,0.9217923830
128,0.9613304081
136,0.9529725496
145,0.9792791082
155,0.9868131591
165,0.9590162946
176,0.9443268745
187,0.9391878451
199,0.9218189777
212,0.9159377015
226,0.9131427931
241,0.9421078179
257,0.9287448610
274,0.9090176632
291,0.9030270133
310,0.9022254585
331,0.8948610571
352,0.8846929704
375,0.8936899111
400,0.8878062968
426,0.9012611143
453,0.8973564411
483,0.9009375529
514,0.9156802534
548,0.9219231186
584,0.9167134051
622,0.9205545417
662,0.9243070222
705,0.9375276935
751,0.9217986191
800,0.9150127061
852,0.9149007824
908,0.9097956608
967,0.9164506571
1030,0.9344445886
1097,0.9359012062
1169,0.9297879964
1245,0.9375255263
1326,0.9343873206
1412,0.9491132105
1504,0.9515369263
1602,0.9503399495
1706,0.9665035762
1818,0.9718018157
1936,0.9782422651
2062,0.9756842388
2196,0.9767377722
2339,0.9777873532
2492,0.9744741379
2654,0.9681547011
2827,0.9587476369
3011,0.9475481934
3207,0.9507800702
3415,0.9564254205
3638,0.9550223331
3875,0.9601815248
4127,0.9706165296
4396,0.9715015091
4682,0.9707158821
4987,0.9873851116
5311,0.9887755962
5657,0.9908326639
6026,0.9918497720
6418,0.9866920216
6836,0.9863494465
7281,0.9873620802
7755,0.9840827525
8260,0.9741655423
8798,0.9713523466
9370,0.9694512964
9980,0.9719933582
10630,0.9741385680
11322,0.9704231974
12059,0.9713227263
12845,0.9691678956
13681,0.9685670561
14571,0.9693660154
15520,0.9661441773
16531,0.9696808398
17607,0.9731489136
18753,0.9774295473
19974,0.9816006359
21274,0.9837017409
22659,0.9882106398
24135,0.9877615110
25706,0.9912375560
27379,0.9884562973
29162,0.9874579961
31061,0.9877666255
33083,0.9851236463
35237,0.9845810714
37531,0.9879308146
39974,0.9884047606
42576,0.9856753222
45348,0.9858586680
48301,0.9847273532
51445,0.9818277712
54794,0.9830511717
58362,0.9855870246
62161,0.9828097061
66208,0.9860957333
70519,0.9879675007
75110,0.9910215003
80000,0.9902100283
