k,omega_k,Omega_k,white_gamma,pile_gamma,white_ratio,pile_ratio
0,0.0000000000,4.0000000000,8.0000000000,8.0000000000,1.0000000000,1.0000000000
1,3.1365484905,5.0831030320,8.0000000000,10.1662060639,0.7869208975,1.0000000000
2,6.2428903045,7.4144237372,8.0000000000,14.8288474743,0.5394889936,1.0000000000
3,9.2891096721,10.1137311859,8.0000000000,20.2274623718,0.3955019099,1.0000000000
4,12.2458698357,12.8825978759,8.0000000000,25.7651957518,0.3104963796,1.0000000000
5,15.0846955784,15.6060257815,8.0000000000,31.2120515631,0.2563112516,1.0000000000
6,17.7782474566,18.2226804458,8.0000000000,36.4453608916,0.2195066753,1.0000000000
7,20.3005850932,20.6909099637,8.0000000000,41.3818199275,0.1933216087,1.0000000000
8,22.6274169980,22.9782505862,8.0000000000,45.9565011723,0.1740776560,1.0000000000
9,24.7363345076,25.0576584076,8.0000000000,50.1153168152,0.1596318353,1.0000000000
10,26.6070275937,26.9060200953,8.0000000000,53.8120401907,0.1486656141,1.0000000000
11,28.2214804591,28.5035429255,8.0000000000,57.0070858510,0.1403334319,1.0000000000
12,29.5641450404,29.8335159170,8.0000000000,59.6670318339,0.1340773917,1.0000000000
13,30.6220907434,30.8822350470,8.0000000000,61.7644700940,0.1295243040,1.0000000000
14,31.3851289729,31.6389999944,8.0000000000,63.2779999888,0.1264262461,1.0000000000
15,31.8459112535,32.0961378294,8.0000000000,64.1922756589,0.1246255865,1.0000000000
16,32.0000000000,32.2490309932,8.0000000000,64.4980619864,0.1240347346,1.0000000000
17,31.8459112535,32.0961378294,8.0000000000,64.1922756589,0.1246255865,1.0000000000
18,31.3851289729,31.6389999944,8.0000000000,63.2779999888,0.1264262461,1.0000000000
19,30.6220907434,30.8822350470,8.0000000000,61.7644700940,0.1295243040,1.0000000000
20,29.5641450404,29.8335159170,8.0000000000,59.6670318339,0.1340773917,1.0000000000
21,28.2214804591,28.5035429255,8.0000000000,57.0070858510,0.1403334319,1.0000000000
22,26.6070275937,26.9060200953,8.0000000000,53.8120401907,0.1486656141,1.0000000000
23,24.7363345076,25.0576584076,8.0000000000,50.1153168152,0.1596318353,1.0000000000
24,22.6274169980,22.9782505862,8.0000000000,45.9565011723,0.1740776560,1.0000000000
25,20.3005850932,20.6909099637,8.0000000000,41.3818199275,0.1933216087,1.0000000000
26,17.7782474566,18.2226804458,8.0000000000,36.4453608916,0.2195066753,1.0000000000
27,15.0846955784,15.6060257815,8.0000000000,31.2120515631,0.2563112516,1.0000000000
28,12.2458698357,12.8825978759,8.0000000000,25.7651957518,0.3104963796,1.0000000000
29,9.2891096721,10.1137311859,8.0000000000,20.2274623718,0.3955019099,1.0000000000
30,6.2428903045,7.4144237372,8.0000000000,14.8288474743,0.5394889936,1.0000000000
31,3.1365484905,5.0831030320,8.0000000000,10.1662060639,0.7869208975,1.0000000000
