samples,white_rms_error,pile_rms_error
10,5.9454313539e-01,7.1878736411e-01
11,5.6796676057e-01,6.9201203404e-01
12,5.4866882779e-01,6.6661285738e-01
13,5.3604321162e-01,6.4249443208e-01
14,5.2910996518e-01,6.1982188625e-01
15,5.2662478481e-01,5.9860853851e-01
16,5.2718365537e-01,5.7868629053e-01
17,5.2935625843e-01,5.5986974670e-01
18,5.3181339918e-01,5.4209752727e-01
19,5.3346211224e-01,5.2543557716e-01
20,5.3354916345e-01,5.0989517379e-01
22,5.2785581300e-01,4.8190939082e-01
23,5.2230663576e-01,4.6900357754e-01
25,5.0811769127e-01,4.4462575879e-01
26,5.0072178520e-01,4.3338184839e-01
28,4.8801247392e-01,4.1250852842e-01
30,4.8006353463e-01,3.9320950511e-01
32,4.7688241213e-01,3.7564355622e-01
34,4.7640380057e-01,3.5963504593e-01
36,4.7573581474e-01,3.4485721258e-01
38,4.7270610533e-01,3.3095520636e-01
40,4.6690795295e-01,3.1809529264e-01
43,4.5604479604e-01,3.0082144128e-01
46,4.4811004243e-01,2.8601762805e-01
49,4.4527239505e-01,2.7392310646e-01
52,4.4436507122e-01,2.6352467441e-01
55,4.4121356233e-01,2.5378651102e-01
59,4.3289083918e-01,2.4172086429e-01
62,4.2737149321e-01,2.3376677114e-01
66,4.2431438828e-01,2.2450562133e-01
71,4.2124265286e-01,2.1445253111e-01
75,4.1534640661e-01,2.0642691039e-01
80,4.0899002481e-01,1.9685560426e-01
85,4.0572253165e-01,1.8852583216e-01
90,4.0007501928e-01,1.8136984075e-01
96,3.9328983124e-01,1.7349376631e-01
102,3.8892102185e-01,1.6606535457e-01
109,3.7948495714e-01,1.5880929193e-01
115,3.7320880769e-01,1.5382184648e-01
123,3.6554401719e-01,1.4874702419e-01
131,3.5721597088e-01,1.4299282253e-01
139,3.4997326318e-01,1.3744083248e-01
148,3.4209356487e-01,1.3212091482e-01
157,3.3462546347e-01,1.2723048247e-01
167,3.2746211493e-01,1.2230324647e-01
178,3.1754709266e-01,1.1650509795e-01
189,3.0728481084e-01,1.1170983336e-01
201,2.9923799134e-01,1.0845380700e-01
214,2.9425175813e-01,1.0633539374e-01
227,2.8528266161e-01,1.0244470310e-01
241,2.7712546284e-01,9.7963356916e-02
257,2.6703064047e-01,9.2766438240e-02
273,2.5853555461e-01,8.8264086743e-02
290,2.5060910311e-01,8.4888877857e-02
309,2.4236532031e-01,8.1891026243e-02
328,2.3434430328e-01,7.8111948714e-02
349,2.2663794759e-01,7.5432644627e-02
371,2.1911124229e-01,7.4374059203e-02
395,2.0937456687e-01,7.1353158934e-02
420,2.0142366358e-01,6.9480084312e-02
446,1.9461853546e-01,6.6484523185e-02
474,1.8781640887e-01,6.4562959270e-02
504,1.8208239416e-01,6.1735868595e-02
536,1.7702161470e-01,5.7260441026e-02
570,1.7136047604e-01,5.5869131992e-02
606,1.6443680128e-01,5.4899351243e-02
645,1.5764860840e-01,5.3789953205e-02
685,1.5271455252e-01,5.1637299856e-02
729,1.4744381314e-01,4.9212336110e-02
775,1.4261429009e-01,4.8010738228e-02
824,1.3705722025e-01,4.6937682452e-02
876,1.3262974712e-01,4.5679662346e-02
931,1.2763334208e-01,4.3273840642e-02
990,1.2446216593e-01,4.2028369651e-02
1053,1.2120441994e-01,3.9743076346e-02
1119,1.1812828334e-01,3.8084015009e-02
1190,1.1542739291e-01,3.6656993347e-02
1265,1.1314693114e-01,3.5480228749e-02
1345,1.1035403999e-01,3.4225407498e-02
1430,1.0668020284e-01,3.4276251072e-02
1520,1.0329201482e-01,3.1938115689e-02
1617,9.9887094374e-02,3.1023374737e-02
1719,9.5495328544e-02,3.0481043595e-02
1827,9.1815941055e-02,2.9887422181e-02
1943,8.8724636553e-02,2.9102981521e-02
2066,8.5705578846e-02,2.8779009598e-02
2196,8.3114095612e-02,2.7439580636e-02
2335,7.9814524758e-02,2.7828740023e-02
2483,7.5892717387e-02,2.6378327339e-02
2640,7.2618159325e-02,2.6535850436e-02
2806,6.9850017072e-02,2.5428562745e-02
2984,6.7794249701e-02,2.4883350163e-02
3172,6.5473160175e-02,2.4286445771e-02
3373,6.2583217668e-02,2.3607611666e-02
3586,5.8687473920e-02,2.3358112149e-02
3813,5.6571218410e-02,2.1792822820e-02
4054,5.2770004318e-02,2.0911050137e-02
4310,5.1422099045e-02,2.0403886541e-02
4582,5.0466881724e-02,1.9312892931e-02
4872,4.9415508672e-02,1.8664194842e-02
5180,4.8796814744e-02,1.8486661507e-02
5507,4.7535823996e-02,1.8146088638e-02
5855,4.5855711020e-02,1.7859237291e-02
6225,4.4576065888e-02,1.7299213218e-02
6619,4.2625403412e-02,1.6786098453e-02
7037,4.0967012093e-02,1.5916435392e-02
7482,4.1047747348e-02,1.5906751879e-02
7954,4.0623789240e-02,1.5230066981e-02
8457,3.9923424346e-02,1.4336572543e-02
8991,3.9156378178e-02,1.3764592394e-02
9560,3.7699855529e-02,1.3201161294e-02
10164,3.6917969426e-02,1.2958505557e-02
10806,3.7098179759e-02,1.2288841126e-02
11489,3.5610803227e-02,1.1785067377e-02
12215,3.3305889052e-02,1.1182456014e-02
12987,3.2005951396e-02,1.0783754460e-02
13808,3.0463118123e-02,1.0624855781e-02
14680,3.0468864742e-02,1.0466597988e-02
15608,2.8699421312e-02,1.0489631541e-02
16594,2.7538244993e-02,9.7973869389e-03
17643,2.7466195972e-02,9.5981161342e-03
18758,2.6723517240e-02,9.4608745392e-03
19943,2.4749829530e-02,9.1472327095e-03
21203,2.3897703267e-02,8.6451270559e-03
22543,2.2635287540e-02,8.6126463713e-03
23968,2.1901410594e-02,8.3894589234e-03
25482,2.0920047492e-02,7.9074774793e-03
27092,1.9802575203e-02,7.7692638718e-03
28805,1.8858020946e-02,7.4934083386e-03
30625,1.8286184941e-02,7.2349412676e-03
32560,1.7852302259e-02,7.1478657461e-03
34618,1.7498085602e-02,6.9254861254e-03
36805,1.6887455435e-02,6.6367835833e-03
39131,1.6368924510e-02,6.4844413080e-03
41604,1.5551231201e-02,6.3338124040e-03
44233,1.5214118481e-02,6.1020914797e-03
47028,1.4836289275e-02,5.9494362666e-03
49999,1.3844494793e-02,5.7408331002e-03
